60.000,3.000
0.788,48392.916,51372.418,32011.507,15066.028,5212.373,1893.493,0.000
0.793,48093.328,51173.473,31997.464,15309.444,5184.287,1736.678,0.000
0.799,48224.398,51473.061,31922.567,15293.060,5212.373,1764.764,0.000
0.805,47957.577,51330.289,31842.988,15197.098,5188.968,1902.856,0.000
0.821,47491.810,51737.542,32065.339,15180.715,5128.114,1809.234,0.000
0.826,47868.636,51732.861,32037.253,15000.493,5238.119,1720.294,0.000
0.832,48224.398,51119.641,32119.172,14831.975,5184.287,1774.126,0.000
0.838,47714.161,51484.764,32481.955,15225.185,5203.011,1865.407,0.000
0.844,47889.701,51344.332,31936.610,15103.477,5247.481,1764.764,0.000
0.849,48399.938,51852.228,31721.281,15229.866,5305.994,1825.618,0.000
0.855,48088.647,51529.234,31976.399,15042.623,5174.924,1762.423,0.000
0.861,47594.794,51274.116,32100.447,15335.190,5245.141,1785.829,0.000
0.867,48348.446,51849.888,32444.506,15082.412,5130.454,1818.596,0.000
0.873,48605.905,51704.774,32102.788,15136.244,5132.795,1799.872,0.000
0.881,47732.885,51728.180,31772.772,15126.882,5284.930,1816.256,0.000
0.886,48238.441,51510.510,31924.907,15213.482,5097.687,1863.066,0.000
0.892,48189.290,51367.737,32154.280,14855.380,5015.768,1813.915,0.000
0.898,48119.074,50981.549,32137.896,15229.866,5205.351,1860.726,0.000
0.903,48329.722,51217.943,31608.935,15325.828,5074.281,1837.321,0.000
0.909,48058.220,51185.176,32084.064,15269.655,5128.114,1809.234,0.000
0.915,47955.236,51349.013,32428.122,15185.396,5130.454,1813.915,0.000
0.921,47903.744,51264.754,32077.042,15028.580,5158.541,1785.829,0.000
0.926,47749.269,51035.381,32393.014,15059.007,5046.195,1769.445,0.000
0.932,47674.372,51220.284,32446.847,15124.542,5249.822,1879.450,0.000
0.938,47803.101,50873.884,32051.296,15199.439,5224.076,1760.083,0.000
0.944,47533.940,51501.148,32102.788,15068.369,5235.778,1827.958,0.000
0.949,48353.127,51423.910,32250.242,15075.391,5093.006,1806.894,0.000
0.955,48268.868,51423.910,32058.318,15096.455,5205.351,1820.937,0.000
0.961,47840.550,51657.964,32187.047,15169.012,5167.903,1905.196,0.000
0.967,48259.506,51412.207,32385.993,15035.601,5198.330,1750.721,0.000
0.972,47587.772,51306.883,32027.891,14974.747,5179.606,1884.131,0.000
0.978,48154.182,51213.262,32196.409,15286.039,5195.989,1816.256,0.000
0.984,48753.359,51407.526,32051.296,15213.482,5055.557,1844.342,0.000
0.989,47882.680,51346.673,32116.831,14932.618,5263.865,1837.321,0.000
0.995,48102.690,51784.353,31981.080,15253.271,5214.714,1795.191,0.000
1.001,47983.323,51320.927,31824.264,15236.888,5273.227,1891.153,0.000
1.007,48285.252,51936.488,32364.928,15117.520,5109.389,1823.277,0.000
1.013,48107.371,51456.678,32294.712,15173.693,5245.141,1928.601,0.000
1.021,47957.577,51547.959,32268.966,15246.250,5081.303,1830.299,0.000
1.027,48182.268,51517.532,31915.545,14960.704,5062.579,1813.915,0.000
1.043,48224.398,51381.781,31835.967,15487.325,5095.346,1753.061,0.000
1.062,47901.404,51096.235,32336.841,15199.439,5217.054,1729.656,0.000
1.068,47917.788,51707.115,32062.999,14988.791,5118.752,1867.747,0.000
1.074,48083.966,51697.753,31903.842,15042.623,5188.968,1823.277,0.000
1.082,48189.290,50988.571,32009.166,15353.914,5158.541,1827.958,0.000
1.087,48247.803,51531.575,32271.306,15077.731,5177.265,1767.104,0.000
1.093,48135.457,51789.034,32130.874,14813.251,5174.924,1783.488,0.000
1.099,47945.874,51412.207,31882.778,15080.072,5163.222,1816.256,0.000
1.104,48109.712,51370.078,32135.555,15126.882,5102.368,1827.958,0.000
1.110,48252.484,51384.121,32308.755,15091.774,5104.708,1818.596,0.000
1.116,48109.712,51716.477,32065.339,15227.525,5277.908,1865.407,0.000
1.122,47796.080,51077.511,31948.312,14906.872,5146.838,1788.169,0.000
